user_id,feature_name,usage_count,date
3583,dashboard,6.0,2024-01-15
3455,dashboard,18.0,2025-12-29
1347,export,3.0,2025-02-22
4061,ai_insights,36.0,2024-02-24
1594,export,4.0,14-05-2025
97,ai_insights,22.0,2024-06-30
4144,export,45.0,2024-07-25
4170,dashboard,1.0,21-06-2024
943,ai_insights,50.0,2025-05-27
112,reports,39.0,01/02/2025
3482,analytics,1.0,2025-11-08
1364,dashboard,29.0,24-02-2025
2895,dashboard,3.0,2024-06-04
3326,dashboard,10.0,2024-03-19
1093,ai_insights,2.0,2024-09-02
1848,analytics,28.0,2024-02-17
4548,reports,17.0,2025-10-06
2051,export,3.0,2025-04-26
40,reports,22.0,2024-09-02
1347,ai_insights,31.0,2025-10-26
1160,analytics,39.0,2025-02-03
1898,ai_insights,37.0,2024-09-13
4196,ai_insights,21.0,2024-05-06
2429,ai_insights,,2024-04-26
3253,dashboard,42.0,01/26/2025
1383,ai_insights,44.0,2024-05-19
3938,ai_insights,43.0,2025-01-06
4310,reports,32.0,2025-10-07
3703,reports,27.0,2025-01-20
4959,analytics,3.0,2024-06-20
2339,reports,42.0,2024-08-30
589,dashboard,6.0,2024-10-09
1705,reports,43.0,2025-02-02
3972,reports,22.0,2024-01-02
4203,ai_insights,26.0,2024-09-12
838,analytics,47.0,2024-07-21
2625,dashboard,37.0,2025-07-15
4940,ai_insights,2.0,2025-06-20
1443,ai_insights,6.0,2025-06-05
827,export,24.0,03/12/2025
1419,analytics,,2024-06-10
3863,reports,15.0,2024-06-01
4243,export,33.0,04/03/2025
4508,export,4.0,2024-08-22
1790,analytics,32.0,2025-09-10
3253,analytics,41.0,2024-04-13
1390,dashboard,35.0,04/13/2024
372,dashboard,12.0,2024-06-19
3227,ai_insights,35.0,2025-08-19
2769,export,49.0,2025-02-25
391,dashboard,1.0,2025-11-23
256,export,13.0,2025-04-30
3317,analytics,,2025-08-20
4456,ai_insights,44.0,2024-01-21
4044,analytics,28.0,2025-03-22
951,analytics,1.0,08/14/2025
1154,dashboard,5.0,2025-05-22
556,ai_insights,46.0,08/18/2024
3259,analytics,28.0,05/14/2025
1382,dashboard,35.0,03-02-2025
696,export,35.0,2024-04-26
2005,export,26.0,2024-01-07
1330,export,,2025-09-10
4627,ai_insights,31.0,03/11/2024
3538,reports,,2024-07-06
1538,analytics,27.0,2024-01-25
2012,export,41.0,2024-02-04
343,reports,11.0,2025-11-21
4236,ai_insights,27.0,2025-05-03
2710,dashboard,44.0,2025-06-28
2522,dashboard,43.0,2024-12-30
3688,analytics,6.0,11/11/2024
1514,ai_insights,41.0,2024-06-13
4100,ai_insights,34.0,2024-01-12
3332,reports,20.0,12/22/2025
4852,reports,42.0,2025-10-20
3065,ai_insights,19.0,02/13/2024
1247,dashboard,25.0,2025-11-30
263,export,35.0,02/24/2025
1112,ai_insights,34.0,02/25/2025
1039,analytics,11.0,13-02-2025
2938,dashboard,25.0,2024-10-09
1223,reports,48.0,2024-02-03
439,analytics,43.0,2024-01-19
2588,reports,,2025-02-10
2855,ai_insights,48.0,2024-12-05
4030,export,46.0,2025-02-26
1903,analytics,20.0,2024-05-05
3915,export,50.0,2025-08-31
868,reports,,2025-10-23
3701,ai_insights,34.0,
4196,export,9.0,2025-10-11
2242,reports,7.0,2025-01-27
2864,dashboard,24.0,08/28/2024
2542,export,37.0,2024-03-06
4113,dashboard,18.0,2025-01-16
1670,reports,16.0,2024-05-20
1134,ai_insights,21.0,2024-03-01
4143,reports,3.0,2025-12-16
272,dashboard,6.0,2024-07-29
3388,ai_insights,33.0,2025-04-07
3482,reports,2.0,2025-07-07
3374,export,37.0,2025-01-01
3506,reports,39.0,2024-04-18
1444,ai_insights,22.0,04/17/2025
3998,reports,9.0,2024-04-10
980,dashboard,35.0,2025-04-09
837,analytics,31.0,2025-12-19
3934,analytics,26.0,2024-02-14
1511,ai_insights,17.0,2025-02-17
2109,dashboard,37.0,2025-12-22
322,analytics,22.0,2025-05-07
3957,export,15.0,2024-08-07
4863,export,9.0,2024-02-11
1997,reports,1.0,2024-08-01
324,export,39.0,04/27/2025
820,dashboard,32.0,
3720,reports,38.0,2024-09-29
999,dashboard,4.0,2025-02-18
4185,dashboard,30.0,2025-03-03
4509,reports,43.0,2025-02-19
1344,reports,21.0,2025-03-16
4437,analytics,50.0,2024-02-21
4005,analytics,49.0,16-02-2024
2529,analytics,12.0,2024-10-05
1402,analytics,4.0,2024-04-14
425,export,25.0,2025-11-06
2811,analytics,12.0,2025-07-30
4174,ai_insights,25.0,2025-07-18
2057,reports,19.0,08/13/2024
4487,analytics,17.0,2024-07-16
4649,dashboard,39.0,2024-06-10
3960,analytics,25.0,2024-07-22
1995,reports,25.0,05/05/2025
461,export,30.0,2024-06-13
3738,ai_insights,46.0,2025-08-24
1515,ai_insights,42.0,2024-04-10
4732,ai_insights,29.0,2025-03-07
1522,ai_insights,23.0,2024-09-14
4232,reports,45.0,2024-09-22
1453,dashboard,37.0,2025-01-24
764,analytics,18.0,07/23/2025
3330,export,4.0,2025-10-01
1231,analytics,2.0,2024-04-28
3513,dashboard,32.0,2024-08-07
4672,dashboard,31.0,2024-05-01
482,ai_insights,31.0,2024-01-04
2564,reports,10.0,2025-10-20
18,export,24.0,2025-04-24
4847,reports,15.0,2024-12-02
3288,export,3.0,2025-06-17
4294,dashboard,39.0,
2658,ai_insights,19.0,2024-10-07
2611,dashboard,1.0,2024-03-02
3430,analytics,25.0,2025-02-28
558,export,5.0,2024-12-26
932,ai_insights,19.0,2024-02-17
2524,dashboard,27.0,2025-02-12
687,dashboard,3.0,2025-05-25
4023,export,32.0,
2552,reports,13.0,2025-09-12
4170,ai_insights,,2024-06-24
2623,ai_insights,49.0,2025-09-27
1732,dashboard,34.0,09/06/2024
1676,analytics,20.0,2024-06-20
2141,ai_insights,30.0,2025-12-24
2508,dashboard,34.0,2024-01-08
3979,dashboard,29.0,12/16/2025
2948,ai_insights,36.0,08/28/2024
4539,dashboard,13.0,2024-08-18
408,dashboard,5.0,2025-04-07
282,reports,26.0,2024-06-16
2844,ai_insights,29.0,2024-02-29
442,export,37.0,
4719,analytics,42.0,12/30/2025
3580,export,23.0,2024-11-09
4356,dashboard,9.0,2024-11-07
2767,analytics,14.0,2025-11-22
3004,ai_insights,3.0,2024-04-27
3575,reports,14.0,2025-05-10
2481,analytics,2.0,2024-03-26
1337,dashboard,,2024-03-23
856,export,36.0,2025-03-01
613,export,,2025-04-05
4422,export,16.0,
2361,analytics,28.0,16-01-2025
2621,analytics,12.0,2025-12-23
2722,analytics,19.0,2024-04-13
2685,analytics,21.0,2024-10-18
3466,analytics,2.0,
3324,dashboard,10.0,2025-08-07
4419,ai_insights,27.0,2025-04-04
3083,export,43.0,10/27/2025
1765,dashboard,26.0,03/08/2025
1796,dashboard,25.0,2024-12-03
1969,export,32.0,02/13/2025
732,ai_insights,19.0,2025-08-25
4387,ai_insights,47.0,02/12/2025
3366,dashboard,7.0,2024-10-09
3378,export,30.0,2025-05-09
4952,analytics,23.0,2025-11-15
4762,reports,2.0,2025-08-30
195,analytics,23.0,2025-09-09
3083,analytics,14.0,2025-05-21
758,ai_insights,4.0,2024-10-28
1306,dashboard,49.0,2024-03-27
4452,dashboard,43.0,2025-03-13
3652,ai_insights,6.0,2024-09-30
3394,ai_insights,14.0,2025-11-26
2568,dashboard,12.0,2025-06-09
455,dashboard,31.0,05-03-2024
1892,ai_insights,1.0,2024-01-25
