session_id,user_id,date,duration_minutes,device_type
1,1256,08/19/2024,113.0,desktop
2,833,01/17/2025,10.0,tablet
3,1256,10-03-2024,28.0,desktop
4,1256,,98.0,desktop
5,1256,19-09-2024,93.0,desktop
6,1256,2024-05-30,95.0,desktop
7,1256,07/26/2024,23.0,mobile
8,1256,2024-05-22,21.0,desktop
9,833,07/30/2024,76.0,tablet
10,833,01/16/2024,67.0,mobile
11,1256,2024-10-13,104.0,desktop
12,1256,2025-01-26,57.0,tablet
13,1256,11/02/2024,77.0,desktop
14,1256,14-08-2024,59.0,
15,1256,16-06-2024,48.0,mobile
16,833,20-12-2024,105.0,desktop
17,1256,06/03/2024,28.0,tablet
18,1256,03/27/2024,,desktop
19,1256,16-08-2024,87.0,desktop
20,833,05/11/2024,,mobile
21,833,21-04-2024,4.0,mobile
22,1256,2024-06-20,,desktop
23,833,06/16/2024,,desktop
24,833,07/25/2024,71.0,mobile
25,1256,10-04-2024,94.0,tablet
26,833,19-03-2024,15.0,tablet
27,1256,2024-10-25,103.0,desktop
28,1256,10/16/2024,33.0,desktop
29,1256,10/28/2024,39.0,desktop
30,1256,07-12-2024,82.0,tablet
31,1256,03-03-2024,18.0,mobile
32,1256,2024-04-03,85.0,tablet
33,1256,2024-03-15,44.0,desktop
34,1256,28-11-2024,16.0,mobile
35,1256,2024-11-26,47.0,mobile
36,1256,10/13/2024,106.0,desktop
37,1256,2024-01-27,26.0,mobile
38,1256,04/27/2024,57.0,desktop
39,1256,01/31/2025,66.0,tablet
40,1256,17-07-2024,56.0,tablet
41,1256,14-04-2024,54.0,tablet
42,1256,03-06-2024,106.0,desktop
43,1256,09/23/2024,10.0,mobile
44,1256,2024-05-05,101.0,mobile
45,1256,06/17/2024,78.0,desktop
46,1256,12/17/2024,81.0,desktop
47,833,18-08-2024,1.0,desktop
48,1256,12/07/2024,6.0,
49,1256,23-08-2024,62.0,
50,1256,2024-12-12,111.0,
51,1256,06/29/2024,15.0,mobile
52,1256,2025-01-11,120.0,desktop
53,833,22-11-2024,108.0,desktop
54,1256,08/05/2024,4.0,desktop
55,1256,11/04/2024,72.0,desktop
56,1256,2024-07-31,59.0,mobile
57,1256,01/19/2024,71.0,tablet
58,1256,05/10/2024,,
59,1256,05/08/2024,39.0,tablet
60,1256,02/01/2024,90.0,desktop
61,1256,16-12-2024,24.0,mobile
62,1256,05/08/2024,46.0,desktop
63,833,2024-07-07,58.0,mobile
64,1256,2024-06-15,71.0,mobile
65,1256,17-02-2024,26.0,mobile
66,1256,26-06-2024,82.0,desktop
67,762,01/12/2024,68.0,mobile
68,1256,2024-11-17,58.0,tablet
69,1256,11-06-2024,27.0,mobile
70,1256,2024-10-05,19.0,tablet
71,1256,2024-04-06,116.0,desktop
72,1256,29-12-2024,68.0,tablet
73,1256,08/31/2024,22.0,mobile
74,1256,2024-04-14,8.0,tablet
75,1256,09-12-2024,9.0,mobile
76,1256,01/25/2024,100.0,mobile
77,1256,14-04-2024,106.0,
78,1256,2024-07-24,9.0,mobile
79,1256,15-01-2025,61.0,desktop
80,1256,09-02-2024,70.0,desktop
81,1256,2024-01-23,19.0,desktop
82,1256,05-03-2024,29.0,
83,1256,05/16/2024,120.0,tablet
84,1256,12/01/2024,44.0,desktop
85,1256,01/27/2025,,mobile
86,1256,2024-11-02,21.0,mobile
87,1256,03/08/2024,18.0,tablet
88,1256,,77.0,tablet
89,1256,11-11-2024,77.0,mobile
90,1256,02/27/2024,17.0,mobile
91,833,2024-09-14,108.0,mobile
92,1256,04-01-2024,20.0,tablet
93,1256,09-01-2025,66.0,mobile
94,1256,2024-03-04,38.0,mobile
95,833,2024-02-09,104.0,desktop
96,1256,2024-03-19,88.0,desktop
97,1256,08-10-2024,,mobile
98,1256,2024-06-22,23.0,desktop
99,1256,02/26/2024,94.0,tablet
100,1256,2024-05-02,21.0,desktop
101,1256,2024-05-05,28.0,desktop
102,1256,08/15/2024,120.0,mobile
103,1256,2024-02-14,,desktop
104,1256,07/29/2024,20.0,desktop
105,1256,2024-01-23,19.0,tablet
106,1256,2024-07-24,70.0,desktop
107,1256,07/01/2024,36.0,tablet
108,1256,2024-08-02,33.0,mobile
109,1256,06/15/2024,117.0,desktop
110,833,08/03/2024,26.0,
111,1256,28-01-2024,58.0,mobile
112,1256,11/18/2024,81.0,desktop
113,1256,03/14/2024,58.0,tablet
114,833,2024-02-27,,mobile
115,833,,102.0,tablet
116,1256,18-01-2025,2.0,mobile
117,1256,10/08/2024,,desktop
118,1256,2024-10-23,24.0,tablet
119,833,2024-02-08,98.0,desktop
120,1256,12-02-2024,74.0,desktop
121,1256,07/15/2024,33.0,mobile
122,1256,2024-11-02,30.0,tablet
123,1256,05/03/2024,,desktop
124,1256,06-04-2024,73.0,mobile
125,1256,24-01-2025,21.0,desktop
126,833,09-01-2024,26.0,desktop
127,1256,19-05-2024,102.0,tablet
128,833,25-10-2024,114.0,desktop
129,1256,02/11/2024,27.0,desktop
130,1256,01/29/2024,22.0,tablet
131,1256,2024-04-06,112.0,tablet
132,833,27-12-2024,101.0,desktop
133,1256,03/16/2024,20.0,mobile
134,833,12/15/2024,11.0,mobile
135,1256,09/27/2024,92.0,tablet
136,833,12/16/2024,97.0,mobile
137,1256,2024-10-20,22.0,mobile
138,1256,01/18/2024,37.0,tablet
139,833,31-01-2025,50.0,mobile
140,1256,14-06-2024,,desktop
141,1256,2024-09-15,59.0,mobile
142,1256,2024-02-20,17.0,tablet
143,1256,04/07/2024,9.0,mobile
144,1256,05-07-2024,102.0,mobile
145,1256,2024-08-01,39.0,mobile
146,1256,01/04/2024,108.0,mobile
147,1256,01/30/2025,,tablet
148,1256,04/09/2024,,desktop
