user_id,plan_start_date,plan_end_date,churned,MRR
1,2024-01-24,,N,0.0
2,2024-01-11,,N,0.0
3,2024-01-31,2025-10-22,N,59.0
4,2024-01-16,,N,99.0
5,2024-01-07,2025-05-31,,0.0
6,2024-01-10,04/04/2025,N,29.0
7,2024-01-06,03/31/2025,N,0.0
8,2024-01-26,2025-02-19,Y,0.0
9,2024-01-07,2025-05-01,Y,0.0
10,2024-01-23,,N,149.0
11,2024-01-13,07/06/2025,N,0.0
12,2024-01-23,,Y,79.0
13,2024-01-21,2024-08-18,Y,99.0
14,2024-01-25,01/19/2025,N,0.0
15,2024-01-09,06/02/2025,N,49.0
16,2024-01-06,2024-12-01,N,0.0
17,2024-01-30,,Y,149.0
18,2024-01-28,2025-06-21,N,0.0
19,2024-01-25,2025-06-18,Y,0.0
20,2024-01-03,2024-11-28,Y,0.0
21,2024-01-21,2025-06-14,Y,149.0
22,2024-01-18,05/12/2025,Y,
23,2024-01-01,,,39.0
24,2024-01-29,08/21/2025,Y,0.0
25,2024-01-28,10/19/2025,Y,49.0
26,2024-01-08,07/01/2025,N,0.0
27,2024-01-31,07/29/2024,Y,0.0
28,2024-01-07,,N,29.0
29,2024-01-19,,Y,49.0
30,2024-01-26,2024-09-22,N,99.0
31,2024-01-18,2025-11-08,N,
32,2024-01-09,2024-12-04,Y,99.0
33,2024-01-04,,N,0.0
34,2024-01-21,,N,59.0
35,2024-01-21,04/20/2024,Y,99.0
36,2024-01-22,,Y,0.0
37,2024-01-13,2025-09-04,Y,0.0
38,2024-01-08,2024-11-03,N,0.0
39,2024-01-09,,Y,0.0
40,2024-01-21,2024-10-17,N,0.0
41,2024-01-15,07/13/2024,Y,29.0
42,2024-01-11,,,99.0
43,2024-01-24,,Y,0.0
44,2024-01-21,2025-03-16,Y,0.0
45,2024-01-25,2025-02-18,Y,0.0
46,2024-01-11,05/10/2024,N,0.0
47,2024-01-23,,Y,79.0
48,2024-01-27,11/22/2024,Y,39.0
49,2024-01-13,,Y,0.0
50,2024-01-18,10/09/2025,N,0.0
51,2024-01-19,,N,29.0
52,2024-01-14,05/13/2024,N,149.0
53,2024-01-21,06/14/2025,N,0.0
54,2024-01-29,05/28/2024,,29.0
55,2024-01-01,06/24/2025,Y,79.0
56,2024-01-13,11/08/2024,Y,49.0
57,2024-01-25,,N,0.0
58,2024-01-05,08/02/2024,N,59.0
59,2024-01-30,04/24/2025,N,0.0
60,2024-01-31,08/28/2024,Y,59.0
61,2024-01-13,2025-05-07,Y,0.0
62,,,Y,59.0
63,2024-01-29,04/23/2025,N,0.0
64,2024-01-25,,Y,99.0
65,2024-01-24,12/14/2025,Y,29.0
66,2024-01-14,,Y,29.0
67,,,Y,49.0
68,2024-01-12,2025-01-06,,99.0
69,2024-01-13,04/12/2024,Y,59.0
70,2024-01-25,07/18/2025,N,39.0
71,2024-01-16,,N,0.0
72,2024-01-14,,,0.0
73,2024-01-16,12/06/2025,Y,79.0
74,2024-01-29,2025-04-23,N,99.0
75,2024-01-01,,N,0.0
76,2024-01-10,10/01/2025,Y,29.0
77,2024-01-15,12/05/2025,N,0.0
78,2024-01-16,,N,0.0
79,,2024-05-30,N,0.0
80,2024-01-18,07/11/2025,Y,39.0
81,2024-01-15,,N,0.0
82,2024-01-25,10/21/2024,N,49.0
83,2024-01-03,,Y,49.0
84,2024-01-08,,N,79.0
85,,,N,59.0
86,2024-01-16,2025-11-06,Y,99.0
87,2024-01-21,03/16/2025,Y,0.0
88,2024-01-12,2025-06-05,Y,99.0
89,2024-01-10,,N,39.0
90,2024-01-05,07/03/2024,N,49.0
91,2024-01-29,,N,59.0
