user_id,signup_date,plan_type,country,industry,acquisition_channel
1,2024-01-13,FREE,DE,Healthcare,
2,2024-10-06,free,DE,Tech,facebook
3,2024-09-15,paid,DE,Education,facebook
4,05/22/2024,,GB,Retail,
5,2024-12-23,Free,GB,Healthcare,organic
6,2024-07-13,paid,DE,Education,facebook
7,2024-10-01,FREE,CA,Retail,facebook
8,2024-11-17,FREE,JP,Retail,linkedin
9,2024-12-04,free,GB,Education,facebook
10,2024-07-13,paid,FR,Education,google
11,2024-04-17,FREE,IN,Finance,referral
12,2024-09-30,Paid,JP,Finance,linkedin
13,2024-11-23,paid,IN,Manufacturing,facebook
14,01/17/2024,free,US,Healthcare,google
15,10/17/2024,Paid,CA,Manufacturing,
16,2024-11-25,FREE,IN,Education,referral
17,2024-05-14,Paid,FR,Retail,linkedin
18,2024-03-11,free,CA,Retail,google
19,2024-03-22,Free,US,Manufacturing,facebook
20,2024-08-27,FREE,GB,Finance,organic
21,12/15/2024,paid,GB,Retail,organic
22,2024-03-21,PAID,AU,Finance,linkedin
23,16-09-2024,PAID,JP,Manufacturing,google
24,2024-04-11,FREE,CA,Retail,referral
25,2024-01-10,paid,JP,Finance,google
26,,free,AU,Education,organic
27,05-02-2024,free,FR,Finance,linkedin
28,2024-10-08,paid,AU,Education,facebook
29,2024-12-19,Paid,FR,Manufacturing,google
30,2024-08-19,paid,GB,Finance,organic
31,2024-04-27,,CA,Education,referral
32,2024-01-31,paid,CA,Education,linkedin
33,2024-05-22,FREE,US,Retail,
34,2024-10-19,Paid,GB,Tech,facebook
35,2024-02-19,Paid,DE,Education,google
36,2024-01-28,free,GB,Retail,referral
37,06/22/2024,free,AU,Education,facebook
38,2024-03-12,free,US,Retail,organic
39,2024-10-08,free,CA,Finance,organic
40,2024-05-01,Free,US,Tech,referral
41,2024-03-25,Paid,CA,Retail,organic
42,22-12-2024,paid,FR,Retail,linkedin
43,21-04-2024,FREE,IN,Tech,referral
44,2024-01-26,free,IN,Manufacturing,organic
45,02/11/2024,FREE,US,Retail,google
46,2024-07-25,FREE,DE,Healthcare,organic
47,2024-11-13,Paid,CA,Manufacturing,linkedin
48,2024-06-09,Paid,AU,Manufacturing,facebook
49,2024-02-07,free,DE,Retail,facebook
50,2024-09-16,free,JP,Manufacturing,organic
51,2024-03-21,PAID,AU,Tech,facebook
52,2024-11-30,PAID,GB,Manufacturing,organic
